Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định,URL Hình
Tiện ích và sức khỏe,101168467,Lipton Nhãn vàng 100 góix36,Hộp,DKSH,118000,
Tiện ích và sức khỏe,101168468,Lipton Trà xanh SD Tuoi moi 18x25x1.5g,Hộp,DKSH,43000,
Tiện ích và sức khỏe,101168469,Lipton Trà xanh SD Tuoi moi 12x(50x1.5g),Hộp,DKSH,73000,
Tiện ích và sức khỏe,101168490,Lipton English Breakfast 18 (25x2.4g),Hộp,DKSH,68000,
Tiện ích và sức khỏe,101168493,Lipton Nhãn Vàng 50 gói x24,Hộp,DKSH,73000,
Tiện ích và sức khỏe,101168494,Lipton Nhãn Vàng 25 gói x48,Hộp,DKSH,43000,
Tiện ích và sức khỏe,101168495,Lipton Trà sữa Oolong 17gx30 hộp,Hộp,DKSH,52000,
Tiện ích và sức khỏe,101168496,Lipton Trà sữa Matcha 17gx30 hộp,Hộp,DKSH,52000,
Tiện ích và sức khỏe,101168497,Lipton Vị Xoài 17gx30 hộp,Hộp,DKSH,42000,
Tiện ích và sức khỏe,101168498,Lipton Ice Tea Chanh 14gx30 hộp,Hộp,DKSH,42000,
Tiện ích và sức khỏe,101168499,Lipton Ice Tea Đào 14gx30 hộp,Hộp,DKSH,42000,
Tiện ích và sức khỏe,101168500,Lipton Ice Tea Chanh 16(2x16x14g+BTTL),Bộ,DKSH,87000,
Tiện ích và sức khỏe,1011685001,Lipton Ice Tea Xoài 16(2x16x14g+BTTL),Bộ,DKSH,87000,
Tiện ích và sức khỏe,101168501,Lipton Ice Tea Đào 16(2x16x14g+BTTL),Bộ,DKSH,87000,
Tiện ích và sức khỏe,101168502,Lipton Nhãn Vàng Envelope 100gói,Hộp,DKSH,207000,
Tiện ích và sức khỏe,101168505,Lipton Ba Tuoc 18x25x2g,Hộp,DKSH,68000,
Tiện ích và sức khỏe,101186590,Lipton Nhãn Vàng Hexagon 18x30sx2g,Hộp,DKSH,57000,
Đồ ăn vặt ngon,12N123050195,15M-Lays Muối Nguyên bản 82g 4x10,Gói,POCA,17000,
Đồ ăn vặt ngon,12S123021195,15M-Lays Sườn BBQ 82g 4x10,Gói,POCA,17000,
Đồ ăn vặt ngon,12T123025195,15M-Lays Tảo biển 82g 4x10,Gói,POCA,17000,
Chăm sóc gia đình,15M1,Rổ 4T2 - Aba 1.5 kg,Cái,ABA,14000,
Chăm sóc gia đình,15M2,Thau 3T6 - Aba 1.5 kg,Cái,ABA,14000,
Đồ ăn vặt ngon,1B123039163,10k-Lays Bò nướng x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1G123048125,10k-Lays Gà cay HQ x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1H123019163,10k-Lays Tôm Trứng muối HK x100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1H123041163T,10k-Lays Tôm x 48 gói Thái,Thùng,POCA,493000,
Đồ ăn vặt ngon,1M123016163,10k-Lays Phô mai x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1M123018163,10k-Lays Mực cay thái x 80 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1N123022163,10k-Lays Tự nhiên x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1N123041163T,10k-Lays Tự nhiên x 48 gói Thái,Thùng,POCA,493000,
Đồ ăn vặt ngon,1N123052188,10k-Lays Nấm Truffle 45gx100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1N133022163,10k-Lays Muối nguyên bản x 100gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1S123002163,10k-Lays Sườn BBQ x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1S123041163T,10k-Lays Sườn BBQ x 48 gói Thái,Thùng,POCA,493000,
Đồ ăn vặt ngon,1T123041163,10k-Lays Tảo biển x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1T133041163T,10k-Lays Tảo biển x 48 gói Thái,Thùng,POCA,493000,
Đồ ăn vặt ngon,1W123051188,10k-Lays Bò Wagyu 45gx100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,1X123047163,10k-Lays Cua XO x 100 gói,Gói,POCA,11000,
Đồ ăn vặt ngon,20B123039152,Lays Thăn Bò nướng 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20B123039153,Lays Bò Wagyu 78g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20B123039154,Lays Nấm Truffle 78g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20G123048152,Lays Gà cay Phô mai 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20H123049152,Lays Tôm trứng muối 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20M123205152,Lays Phô Mai 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20N123206152,Lays Tự nhiên Classic 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20N123206200,Lays Muoi Nguyen Ban 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20S123213152,Lays Sườn nướng BBQ 95g 4x10,Gói,POCA,22000,
Đồ ăn vặt ngon,20T123041152,Lays Tảo biển Nori 95g 4x10,Gói,POCA,22000,
Hàng hóa,2K12010275,2k-Partyz Tôm hùm x 120 gói,Thùng,POCA,242000,
Hàng hóa,2KM2,Nồi inox 28cm,Cái,ABA,192000,
Chăm sóc cá nhân,3921018,Sua rua mat Bio Gold 100g - 176026923,Tuýp,Bio Essence,177000,
Chăm sóc cá nhân,3921019,SUA RUA MAT BIO WHITE 100G,Tuýp,Bio Essence,151000,
Chăm sóc cá nhân,3921020,SUA RUA MAT DA DAU BIO RENEW 100G - 176027357,Tuýp,Bio Essence,189000,
Chăm sóc cá nhân,3921021,SUA RUA MAT DA KHO THUONG BIO RENEW 100G - 176027340,Tuýp,Bio Essence,189000,
Chăm sóc cá nhân,3921022,GELTAY TE BAO CHET BIO RENEW 60G - 176027371,Tuýp,Bio Essence,336000,
Chăm sóc cá nhân,3921024,BIO BIRD’S SRM NEST COLLAGEN  100G - 176030562,Tuýp,Bio Essence,185000,
Chăm sóc cá nhân,3921026,Bio-essence Bio Water B5 Foamy Cleanser 100g - 176027265,Tuýp,Bio Essence,177000,
Chăm sóc cá nhân,3921028,BE SRM BIO-WHITE PRO WHITENING 100G - 176027739,Tuýp,Bio Essence,190000,
