Mã Sản Phẩm,Tên Sản Phẩm,ĐVT,Giá,Nhãn hàng
GT.5451.S.10A,"Gạo Thơm Lài, túi 10kg",kg," 13,000 ",AAN
GT.ANLANH.S.05A,"Gạo An Lành, túi 05kg",kg," 13,000 ",AAN
GT.ANLANH.S.10A,"Gạo An Lành, túi 10kg",kg," 13,000 ",AAN
GT.DT8.S.05B,"Gạo Đài Thơm, túi 05kg",kg," 20,000 ",AAN
GT.DT8.S.10A,"Gạo Đài Thơm, túi 10kg",kg," 14,000 ",AAN
GT.JAPO.S.05B,"Gạo Japonica, túi 05kg",kg," 22,000 ",AAN
GT.ST21.S.05D,"Gạo ST21, túi 05kg",kg," 24,000 ",AAN
GT.ST24.S.05C,"Gạo ST24, túi 05kg",kg," 33,000 ",AAN
GT.ST25.S.05C,"Gạo ST25, túi 05kg",kg," 33,000 ",AAN
GT.ST25T.S.05B,"Gạo ST25 lúa tôm, túi 05kg",kg," 40,000 ",AAN
A11,"Bột giặt nhiệt Aba 1,15kg",Gói," 46,000 ",ABA
A2,Bột giặt nhiệt Aba 2 kg,Gói," 78,000 ",ABA
A26,Bột giặt nhiệt Aba Junco 2.6kg,Gói," 114,000 ",ABA
A29,Bột giặt nhiệt Aba 2.9kg,Gói," 114,000 ",ABA
A291,Bột giặt nhiệt Aba 2.9kg (giặt máy),Gói," 109,000 ",ABA
A350,Bột giặt nhiệt Aba Nước Hoa 350gr,Gói," 17,000 ",ABA
A380,Bột giặt nhiệt Aba 380gr,Gói," 17,000 ",ABA
A4,Bột giặt nhiệt Aba Nước Hoa 4kg,Gói," 151,000 ",ABA
A43,"Bột giặt nhiệt Aba 4,3 kg",Gói," 151,000 ",ABA
A53,"Bột giặt nhiệt Aba Junco 5,3 kg",Gói," 201,000 ",ABA
A57,Bột giặt nhiệt Aba 5.7kg,Gói," 201,000 ",ABA
A700,Bột giặt nhiệt Aba Nước Hoa 700gr,Gói," 33,000 ",ABA
A770,Bột giặt nhiệt Aba 770gr,Gói," 33,000 ",ABA
