post_title,ID,sku,stock,regular_price,sale_price,width,stock_status,images,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:op_product_notes,tax:styler_product_brands,attribute:pa_color,attribute_data:pa_color,attribute:pa_pattern,attribute_data:pa_pattern,attribute:pa_sizes,attribute_data:pa_sizes
"Gạo A AN An Lành, túi 10kg",6488,GT.ANLANH.S.10A,,146600,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Gao-An-Lanh-tui-10kg-1.jpg ! alt :  ! title : Gạo An Lành, túi 10kg ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-An-Lanh-tui-10kg1.jpg ! alt :  ! title : Gạo An Lành, túi 10kg1 ! desc :  ! caption : ",simple,,Thực phẩm,Gạo A AN An Lành|túi 10kg,,,,,,,,,
"Gạo A AN Đài Thơm, túi 05kg",6489,GT.DT8.S.05B,,80600,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Dai-Thom-tui-05kg1.webp ! alt :  ! title : Gạo Đài Thơm, túi 05kg1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Dai-Thom-tui-05kg-2.jpg ! alt :  ! title : Gạo Đài Thơm, túi 05kg ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Dai-Thom-tui-05kg2.jpg ! alt :  ! title : Gạo Đài Thơm, túi 05kg2 ! desc :  ! caption : ",simple,,Thực phẩm,Gạo A AN Đài Thơm|túi 05kg,,,,,,,,,
"Gạo A AN Đài Thơm, túi 10kg",6490,GT.DT8.S.10A,,150000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Dai-Thom-tui-10kg.png ! alt :  ! title : Gạo Đài Thơm, túi 10kg ! desc :  ! caption : ",simple,,Thực phẩm,Gạo A AN Đài Thơm|túi 10kg,,,,,,,,,
"Gạo A AN Japonica, túi 05kg",6491,GT.JAPO.S.05B,,98000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Japonica-tui-05kg1.webp ! alt :  ! title : Gạo Japonica, túi 05kg1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Japonica-tui-05kg2.jpg ! alt :  ! title : Gạo Japonica, túi 05kg2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-Japonica-tui-05kg.jpg ! alt :  ! title : Gạo Japonica, túi 05kg ! desc :  ! caption : ",simple,,Thực phẩm,Gạo A AN Japonica|túi 05kg,,,,,,,,,
"Gạo A AN ST21, túi 05kg",6492,GT.ST21.S.05D,,96200,,,instock,https://minhkhue.vn/wp-content/uploads/2023/07/st212.png ! alt :  ! title : st212 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/st21.jpg ! alt :  ! title : st21 ! desc :  ! caption : ,simple,,Thực phẩm,,,,,,,,,,
"Gạo A AN ST24, túi 05kg",6493,GT.ST24.S.05C,,114400,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/st241.jpg ! alt :  ! title : st241 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/st24.jpg ! alt :  ! title : st24 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST24-tui-05kg-1.jpg ! alt :  ! title : Gạo ST24, túi 05kg ! desc :  ! caption : ",simple,,Thực phẩm,,,,,,,,,,
"Gạo A AN ST25, túi 05kg",6494,GT.ST25.S.05C,,129500,,,instock,https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST25-tui-05kg2.jpg ! alt :  ! title : Gạo ST25 túi 05kg2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST25-tui-05kg.webp ! alt :  ! title : Gạo ST25 túi 05kg ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST25-tui-05kg.jpg ! alt :  ! title : Gạo ST25 túi 05kg ! desc :  ! caption : ,simple,,Thực phẩm,Gạo A AN ST25|túi 05kg,,,,,,,,,
"Gạo A AN ST25 lúa tôm, túi 05kg",6495,GT.ST25T.S.05B,,155000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST25-lua-tom-tui-05kg1.jpg ! alt :  ! title : Gạo ST25 lúa tôm, túi 05kg1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Gao-ST25-lua-tom-tui-05kg.webp ! alt :  ! title : Gạo ST25 lúa tôm, túi 05kg ! desc :  ! caption : ",simple,,Thực phẩm,Gạo A AN ST25 lúa tôm|túi 05kg,,,,,,,,,
"Bột giặt nhiệt Aba 1,15kg",6496,A11,,46000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Bot-giat-Aba-15-kgx9-goi.jpg ! alt :  ! title : Bột giặt Aba 1,5 kgx9 gói ! desc :  ! caption : ",simple,,Chăm sóc nhà cửa,,,,,,,,,,
Bột giặt nhiệt Aba 2 kg,6497,A2,,78000,,,instock,https://minhkhue.vn/wp-content/uploads/2023/07/a2k.jpg ! alt :  ! title : a2k ! desc :  ! caption : ,simple,,Chăm sóc nhà cửa,,,,,,,,,,
