,Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
,,,,,,
,Hàng hóa,101168467,Lipton Nhãn vàng 100 góix36,Hộp,DKSH," 90,494 "
,Hàng hóa,101168468,Lipton Trà xanh SD Tuoi moi 18x25x1.5g,Hộp,DKSH," 32,712 "
,Hàng hóa,101168469,Lipton Trà xanh SD Tuoi moi 12x(50x1.5g),Hộp,DKSH," 56,020 "
,Hàng hóa,101168490,Lipton English Breakfast 18 (25x2.4g),Hộp,DKSH," 51,711 "
,Hàng hóa,101168493,Lipton Nhãn Vàng 50 gói x24,Hộp,DKSH," 56,020 "
,Hàng hóa,101168494,Lipton Nhãn Vàng 25 gói x48,Hộp,DKSH," 32,712 "
,Hàng hóa,101168495,Lipton Trà sữa Oolong 17gx30 hộp,Hộp,DKSH," 39,663 "
,Hàng hóa,101168496,Lipton Trà sữa Matcha 17gx30 hộp,Hộp,DKSH," 39,663 "
,Hàng hóa,101168497,Lipton Vị Xoài 17gx30 hộp,Hộp,DKSH," 32,123 "
,Hàng hóa,101168498,Lipton Ice Tea Chanh 14gx30 hộp,Hộp,DKSH," 32,123 "
,Hàng hóa,101168499,Lipton Ice Tea Đào 14gx30 hộp,Hộp,DKSH," 32,123 "
,Hàng hóa,101168500,Lipton Ice Tea Chanh 16(2x16x14g+BTTL),Bộ,DKSH," 66,275 "
,Hàng hóa,1011685001,Lipton Ice Tea Xoài 16(2x16x14g+BTTL),Bộ,DKSH," 66,275 "
,Hàng hóa,101168501,Lipton Ice Tea Đào 16(2x16x14g+BTTL),Bộ,DKSH," 66,275 "
,Hàng hóa,101168502,Lipton Nhãn Vàng Envelope 100gói,Hộp,DKSH," 158,865 "
,Hàng hóa,101168505,Lipton Ba Tuoc 18x25x2g,Hộp,DKSH," 51,711 "
,Hàng hóa,101186590,Lipton Nhãn Vàng Hexagon 18x30sx2g,Hộp,DKSH," 43,395 "
,Hàng hóa,12N123050195,15M-Lays Muối Nguyên bản 82g 4x10,Gói,POCA," 12,500 "
,Hàng hóa,12S123021195,15M-Lays Sườn BBQ 82g 4x10,Gói,POCA," 12,500 "
,Hàng hóa,12T123025195,15M-Lays Tảo biển 82g 4x10,Gói,POCA," 12,500 "
,Hàng hóa,15M1,Rổ 4T2 - Aba 1.5 kg,Cái,ABA," 10,101 "
,Hàng hóa,15M2,Thau 3T6 - Aba 1.5 kg,Cái,ABA," 10,101 "
,Hàng hóa,1B123039163,10k-Lays Bò nướng x 100 gói,Gói,POCA," 8,300 "
