STT,TÊN SẢN PHẨM,TÊN THƯƠNG HIỆU,LOẠI DANH MỤC,GIÁ
1,A2 Milk Powder Full Cream (bag 1kg),A2,MILK,$15.00
2,A2 Milk Powder Skim (bag 1 kg),A2,MILK,$15.00
3,Ensure 2024,ABBOT,MILK,$33.50
4,Glucerna 3/24,ABBOT,MILK,$35.50
5,Glucerna 3/24 3 hộp,ABBOT,MILK,$105.00
6,Pediasure,ABBOT,MILK,$38.00
7,Pediasure 3 hộp,ABBOT,MILK,$110.00
8,Alpha Lipid,LIFE LINE,MILK,$65.00
9,Kem chống nắng Kid,CANCER COUNCIL,Kem,$5.00
10,Kem cừu,CARELINE,Kem,$4.00
11,Kem,REBIRTH,Kem,$6.50
12,Son sưỡng,REBIRTH,Kem,$3.50
13,Kem shining,E'AORON,Kem,$12.00
14,Kem crystal,E'AORON,Kem,$15.00
15,Sữa rửa mặt,E'AORON,Kem,$8.00
16,Toner,E'AORON,Kem,$12.50
17,Serum,E'AORON,Kem,$30.50
18,Whitening gift set,LANOPEARL,Kem,$50.00
19,Kem,LANOPEARL,Kem,$16.50
20,South sea pearl kem,LANOPEARL,Kem,$16.00
21,Kem cừu,LIFE SPRING,Kem,$4.00
22,Kem,ROSANNA,Kem,$6.50
23,Serum,ROSANNA,Kem,$16.00
24,Sữa rửa mặt,ROSANNA,Kem,$7.00
25,Facial mask,ROSANNA,Kem,$8.00
26,Kem/kem mắt,OLAY/LOREAL,Kem,$15.00
27,Serum,OLAY/LOREAL,Kem,$18.00
28,Mask,OLAY/LOREAL,Kem,$4.50
29,24k Toner,THERA LADY,Kem,$17.50
30,Combo 24k + beauty bar,THERA LADY,Kem,$18.00
31,3 pack gift set,SIMPLE,Kem,$15.00
32,Kem,NEUTRO,Kem,$15.00
33,Serum,NEUTRO,Kem,$18.00
34,Kem,REDWIN,Kem,$4.50
35,Phấn,MAYBELLINE, Make up,$10.00
36,Son,MAYBELLINE, Make up,$4.00
37,Highlight,REVLON, Make up,$10.00
38,Son kiss cloud,REVLON, Make up,$7.00
39,Son,REVLON, Make up,$8.00
40,Phấn mắt,LOREAL, Make up,$10.00
41,Che khuyết điểm,LOREAL, Make up,$10.00
42,Son,LOREAL, Make up,$8.00
43,Super tint,W7, Make up,$5.00
44,Phấn,W7, Make up,$8.00
45,Mascara,W7, Make up,$5.00
46,Concealer,W7, Make up,$5.00
47,Son dưỡng Tutti Fruity,W7, Make up,$5.00
48,Son,W7, Make up,$8.00
49,Phấn mắt,RIMMEL, Make up,$10.00
50,Chì kẻ mày,MAX FACTOR, Make up,$6.00
51,Covergirl,PHẤN, Make up,$15.00
52,tuyp 15g,LUCAS,Dưỡng,$3.00
53,tuyp 25g,LUCAS,Dưỡng,$5.50
54,hũ,LUCAS,Dưỡng,$8.00
55,Lip Therapy Cocoa Butter Lip Balm - 20g ,VASELINE,Dưỡng,$3.50
56,Tinted Lip Balm ,VASELINE,Dưỡng,$5.00
57,Original Lip Balm - 10g,VASELINE,Dưỡng,$5.00
58,Hũ 50mL ,VASELINE,Dưỡng,$4.00
